segment #,AEP 1,AEP 2,PLV 1,PLV 2,PLV inter,PSDa1,PSDa2,PSDt1,PSDt2,PSDf1,PSDf2,flow1,flow2,teamflow
21,-2.895351168871094e-07,2.550314197262719e-07,0.7057001377288975,0.7318223049829046,0.4538800378038921,-3.849931943495229,-1.655121500517239,-10.16798799875311,-14.801588309098992,-2.682605460528889,-7.831093308336984,0.04761919434761852,0.04761926459271151,0.9464157941015605
22,1.8579275095538344e-07,5.744112525701754e-07,0.6922014257127365,0.7140493556581605,0.44220307087985955,-3.5965493618970226,-4.131633028550941,-10.921853415195386,-14.368282887068016,-3.2486779235905394,-7.186903138740377,0.045454692827423426,0.04545476186889677,0.9484026313508221
23,0.0,0.0,0.6955036414491517,0.714849528315785,0.4526707330930937,-5.20531573414029,-0.9598138837366879,-11.203741281375388,-13.974727742199102,-4.585944314166444,-6.223613274294704,0.04347840866891024,0.04347847575027279,0.9502435064718386
24,0.0,0.0,0.6954381142360506,0.7261193211241146,0.4364373797280654,-3.5700364951770385,-0.9761228990644099,-10.46473554864232,-14.646167065527969,-2.3930884604850755,-5.535127490030091,0.04166681432353966,0.04166687875925995,0.9519072457211243
25,0.0,0.0,0.6799429102753384,0.7091038481384839,0.47022333883072776,-6.557683215683802,1.7372861679769587,-11.188874491886663,-14.645736802720673,-3.1619851245238784,-7.769549080711785,0.04000014698819451,0.040000210132949424,0.9534818438947502
26,4.802508642787917e-07,-3.789179477747668e-07,0.6817665669798224,0.7185056405821172,0.4655153282975752,-4.829492732402199,0.20623885186337887,-10.191490119329844,-13.594287080397082,-1.7888937884509177,-5.683494777741916,0.03846168587749584,0.03846174745219617,0.9550070736369735
27,7.643311904589941e-08,-1.68096901210318e-07,0.6580468077421507,0.7014786820213544,0.4595097275583776,-2.6181710318348452,-3.512599211245602,-10.38173170989056,-14.46817111671005,-1.1648184333108782,-5.743101527281774,0.03703718382821702,0.03703724481429008,0.9564218331108834
28,0.0,0.0,0.671441831831753,0.7027744652367801,0.4402427369221766,-6.484056320146817,-1.9423682718514728,-10.196030145811894,-14.25605085961739,-2.3893386264575387,-6.841421209753941,0.03571443146703692,0.035714492181226125,0.9577054159755561
29,0.0,0.0,0.6769937140860104,0.7184287324753645,0.4681979931840219,-3.507076447459242,-2.803400056680876,-9.49463376201927,-14.32326218721906,-0.9438683917447609,-5.792448662041652,0.03448290300673846,0.034482963176590546,0.9589543170524579
30,0.0,0.0,0.6793384265101559,0.6982211022017051,0.4431117376480338,-3.5429409261107607,-1.2456236332519135,-9.98403766753577,-15.054705639776493,-2.3913142959969678,-7.516178353619875,0.033333476277079034,0.033333536303403764,0.9600870808422054
31,-1.0028342509700684e-07,-7.339692305656156e-08,0.6912978776815688,0.7188086057055113,0.450368075670985,-5.339997462849639,-0.514975860453526,-10.364980405757088,-14.991325048537563,-3.049752010673529,-7.727458197723931,0.032258205893111395,0.03225826672123173,0.9611462169652797
32,-1.5997656256379273e-07,2.7187752713246796e-07,0.7016349229982097,0.7103805187359309,0.4468753683305706,-4.7435542296487,-5.679818315048896,-8.762790682343269,-14.64689822831109,-1.5260909403393008,-8.093918181861158,0.03125013963318528,0.0312502013127256,0.9621489160589598
33,0.0,0.0,0.6536480681676078,0.6977107836147056,0.45653826340868675,-6.140006602832723,-2.875410469754816,-10.399643910687479,-14.582444117292408,-1.5661951619073746,-6.3805424155152695,0.030303167983425756,0.03030323044190107,0.9630821134846073
34,0.0,0.0,0.6543335133182444,0.7094424232618952,0.43554502538700623,-5.3154931813689625,-1.6509168093898112,-9.964444192333888,-14.614028491631219,-1.7683830834251169,-7.006378484698962,0.029411900324639917,0.029411963699823136,0.96392804848666
35,-6.631042214704857e-07,1.0190220672245353e-07,0.6472103251801444,0.7001095265577668,0.45123943468271366,-7.145830344290485,-2.7620855836106104,-10.42916269307665,-15.461409312793998,0.12461798172294862,-7.50608444422096,0.028571562566102163,0.02857162654654305,0.9647271422561413
36,0.0,0.0,0.6664795850301354,0.7186442307047658,0.447095338832998,-4.190057381152546,-0.8139402106965825,-9.523573770345356,-14.953765934218723,-1.5650619603163536,-7.2123207797852915,0.02777791009996143,0.02777797484767267,0.9654776388237889
